production_id,product_name,category,region,production_date,units_produced,defective_units,revenue,cost,analyst_score
1,Apple iphone 15 ,Electronics,East Africa,2026-01-01,1200,15,2.4E+5,1.8E+5,4.5
2,AlphaPhone,Electronics,West Africa,2026-01-02,1100,20,2.2E+5,1.7E+5,4.2
3,SmartTV X,Electronics,Europe,2026-01-03,900,10,2.7E+5,2.0E+5,4.6
4,SmartTV X pro ,Electronics,Asia,2026-01-04,950,12,285000,2.1E+5,4.7
5,EcoFridge,Appliances,North America,2026-01-05,800,8,1.6E+5,1.2E+5,4.3
6,Oven,Appliances,Europe,2026-01-06,850,9,1.7E+5,125000,4.4
7,SolarPanel Pro,Energy,Africa,2026-01-07,700,5,3.5E+5,2.5E+5,4.8
8,Battery ,Energy,Asia,2026-01-08,720,6,3.6E+5,255000,4.7
9,GamingLaptop Z,Computers,North America,2026-01-09,650,14,325000,2.6E+5,4.5
10,Lenovo Pc,Computers,Europe,2026-01-10,680,13,3.4E+5,265000,4.6
